"","...1","Species","Family","Relative.Growth.Rate","Mean.absolute.growth.rate","SD.growth.rate","SLA","LA","LDMC","LNC","LPC","WD","Height","Number.of.stems","Median.height","Category"
"101",101,"Rudgea jasminoides","Rubiaceae",0.205167747241539,0.7,0.6,98.90468656,25.61851333,291.5151852,2.12,0.11,0.47153937,13,17,7.4,"Understory"
"102",102,"Sapium glandulosum","Euphorbiaceae",0.305909724353518,3.2,5,90.37151952,20.5143586200001,290.075276,1.96,0.15,0.335110234346154,23,122,11,"Canopy"
"103",103,"Schinus lentiscifolia","Anacardiaceae",0.277609291417599,2.3,1.7,75.21444033,0.93494,481.9937683,1.6,0.1,0.555084049,22,30,9,"Understory"
"104",104,"Schinus terebinthifolia","Anacardiaceae",0.301224676707372,2.7,5.7,94.61021943,5.80514999999997,400.4693265,1.6,0.18,0.496428635,16,21,9,"Understory"
"105",105,"Scutia buxifolia","Rhamnaceae",0.271801190737186,2.6,2.9,110.2557768,3.811261364,502.3730076,1.7,0.12,0.569872358,15,84,7,"Understory"
"106",106,"Sebastiania brasiliensis","Euphorbiaceae",0.288618525139193,1.7,2,126.4495934,8.40754791699997,363.7751202,1.8,0.2,0.600821111818182,28,179,6,"Understory"
"107",107,"Siphoneugena reitzii","Myrtaceae",0.215558552661651,1.3,1.9,80.51000989,0.970994004,465.1086817,1.51,0.12,0.629388596,18,80,7,"Understory"
"108",108,"Sloanea guianensis","Elaeocarpaceae",0.211347953681007,2.2,2,63.57365749,32.51585238,508.6041674,1.28,0.09,0.717857863,23,58,12,"Canopy"
"109",109,"Solanum sanctaecatharinae","Solanaceae",0.272232754228857,2.4,1.9,181.7846442,31.13423257,300.9766374,3.14,0.21,0.453452943,18,25,9,"Understory"
"110",110,"Sorocea bonplandii","Moraceae",0.175456897525047,0.8,0.6,105.301296,23.1834568199999,429.2324734,1.23,0.1,0.467292249,13,31,7,"Understory"
"111",111,"Styrax leprosus","Styracaceae",0.825374435393449,2.9,5.5,92.98760363,11.41379674,439.4856501,1.4,0.08,0.422238397228571,20,129,8,"Understory"
"112",112,"Symplocos uniflora","Symplocaceae",0.262509930432316,3,2.9,59.96975366,9.80382666699995,364.3243996,1.3,0.08,0.369674422,15,44,7,"Understory"
"113",113,"Tapirira guianensis","Anacardiaceae",0.236300045828568,5.5,4.2,92.53155072,25.0309900000001,430.8843023,1.7,0.13,0.598561299,23,11,16.5,"Canopy"
"114",114,"Tetrorchidium rubrivenium","Euphorbiaceae",0.189612354644403,2.9,2.8,130.4920758,46.8180166699999,226.1261583,2.61,0.22,0.386880582,23,16,16.8,"Canopy"
"115",115,"Trichilia claussenii","Meliaceae",0.170292309073742,1.2,1.3,120.4293169,22.4276357999999,445.9289081,1.82,0.11,0.640037563,17,10,12,"Canopy"
"116",116,"Trichilia lepidota","Meliaceae",0.205228553741656,2,1.7,101.8159179,47.65732,382.0056319,2.68,0.18,0.59355208,23.5,12,11.5,"Canopy"
"117",117,"Vernonanthura discolor","Asteraceae",0.259779504578525,4.1,5.4,71.75357493,24.9896742500001,346.5273201,1.65,0.13,0.357387429,23,67,11,"Canopy"
"118",118,"Virola bicuhyba","Myristicaceae",0.20275658806926,2.5,2.6,124.1490026,52.5837381899998,295.7190653,1.55,0.08,0.487856421,26,20,13.4,"Canopy"
"119",119,"Weinmannia paulliniifolia","Cunoniaceae",0.274233303068554,3,4.2,125.185063,1.184142222,359.6607862,1.3,0.09,0.474071528,20,62,8,"Understory"
"120",120,"Zanthoxylum kleinii","Rutaceae",0.230099407528136,2.6,2.8,83.88198758,1.0804,420.5714286,2.2,0.11,0.592148329,16,79,10,"Canopy"
"121",121,"Zanthoxylum rhoifolium","Rutaceae",0.399506159982664,2.8,3.3,129.4066618,5.20037281299998,360.4384973,1.68,0.1,0.443842677235294,22,91,9.5,"Understory"
